2013-12-16 20:43:35 status unpacked libc6:armel 2.13-38
2013-12-16 20:43:35 status half-installed libc6:armel 2.13-38
2013-12-16 20:43:40 status half-installed libc6:armel 2.13-38
2013-12-16 20:43:40 status unpacked libc6:armel 2.13-38
2013-12-16 20:43:40 status unpacked libc6:armel 2.13-38
2013-12-16 20:43:40 install findutils:armel <none> 4.4.2-4
2013-12-16 20:43:40 status half-installed findutils:armel 4.4.2-4
2013-12-16 20:43:41 status unpacked findutils:armel 4.4.2-4
2013-12-16 20:43:41 status unpacked findutils:armel 4.4.2-4
2013-12-16 20:43:41 install gcc-4.7-base:armel <none> 4.7.2-5
2013-12-16 20:43:41 status half-installed gcc-4.7-base:armel 4.7.2-5
2013-12-16 20:43:41 status unpacked gcc-4.7-base:armel 4.7.2-5
2013-12-16 20:43:41 status unpacked gcc-4.7-base:armel 4.7.2-5
2013-12-16 20:43:41 install libgcc1:armel <none> 1:4.7.2-5
2013-12-16 20:43:41 status half-installed libgcc1:armel 1:4.7.2-5
2013-12-16 20:43:41 status unpacked libgcc1:armel 1:4.7.2-5
2013-12-16 20:43:41 status unpacked libgcc1:armel 1:4.7.2-5
2013-12-16 20:43:41 install grep:armel <none> 2.12-2
2013-12-16 20:43:41 status half-installed grep:armel 2.12-2
2013-12-16 20:43:42 status unpacked grep:armel 2.12-2
2013-12-16 20:43:42 status unpacked grep:armel 2.12-2
2013-12-16 20:43:42 install gzip:armel <none> 1.5-1.1
2013-12-16 20:43:42 status half-installed gzip:armel 1.5-1.1
2013-12-16 20:43:42 status unpacked gzip:armel 1.5-1.1
2013-12-16 20:43:42 status unpacked gzip:armel 1.5-1.1
2013-12-16 20:43:42 install hostname:armel <none> 3.11
2013-12-16 20:43:42 status half-installed hostname:armel 3.11
2013-12-16 20:43:42 status unpacked hostname:armel 3.11
2013-12-16 20:43:42 status unpacked hostname:armel 3.11
2013-12-16 20:43:42 install insserv:armel <none> 1.14.0-5
2013-12-16 20:43:42 status half-installed insserv:armel 1.14.0-5
2013-12-16 20:43:42 status unpacked insserv:armel 1.14.0-5
2013-12-16 20:43:42 status unpacked insserv:armel 1.14.0-5
2013-12-16 20:43:43 install liblocale-gettext-perl:armel <none> 1.05-7+b1
2013-12-16 20:43:43 status half-installed liblocale-gettext-perl:armel 1.05-7+b1
2013-12-16 20:43:43 status unpacked liblocale-gettext-perl:armel 1.05-7+b1
2013-12-16 20:43:43 status unpacked liblocale-gettext-perl:armel 1.05-7+b1
2013-12-16 20:43:43 install libselinux1:armel <none> 2.1.9-5
2013-12-16 20:43:43 status half-installed libselinux1:armel 2.1.9-5
2013-12-16 20:43:43 status unpacked libselinux1:armel 2.1.9-5
2013-12-16 20:43:43 status unpacked libselinux1:armel 2.1.9-5
2013-12-16 20:43:43 install libsemanage-common:all <none> 2.1.6-6
2013-12-16 20:43:43 status half-installed libsemanage-common:all 2.1.6-6
2013-12-16 20:43:43 status unpacked libsemanage-common:all 2.1.6-6
2013-12-16 20:43:43 status unpacked libsemanage-common:all 2.1.6-6
2013-12-16 20:43:43 install libsemanage1:armel <none> 2.1.6-6
2013-12-16 20:43:43 status half-installed libsemanage1:armel 2.1.6-6
2013-12-16 20:43:43 status unpacked libsemanage1:armel 2.1.6-6
2013-12-16 20:43:43 status unpacked libsemanage1:armel 2.1.6-6
2013-12-16 20:43:43 install libsepol1:armel <none> 2.1.4-3
2013-12-16 20:43:43 status half-installed libsepol1:armel 2.1.4-3
2013-12-16 20:43:44 status unpacked libsepol1:armel 2.1.4-3
2013-12-16 20:43:44 status unpacked libsepol1:armel 2.1.4-3
2013-12-16 20:43:44 install libtext-charwidth-perl:armel <none> 0.04-7+b1
2013-12-16 20:43:44 status half-installed libtext-charwidth-perl:armel 0.04-7+b1
2013-12-16 20:43:44 status unpacked libtext-charwidth-perl:armel 0.04-7+b1
2013-12-16 20:43:44 status unpacked libtext-charwidth-perl:armel 0.04-7+b1
2013-12-16 20:43:44 install libtext-iconv-perl:armel <none> 1.7-5
2013-12-16 20:43:44 status half-installed libtext-iconv-perl:armel 1.7-5
2013-12-16 20:43:44 status unpacked libtext-iconv-perl:armel 1.7-5
2013-12-16 20:43:44 status unpacked libtext-iconv-perl:armel 1.7-5
2013-12-16 20:43:44 install libtext-wrapi18n-perl:all <none> 0.06-7
2013-12-16 20:43:44 status half-installed libtext-wrapi18n-perl:all 0.06-7
2013-12-16 20:43:44 status unpacked libtext-wrapi18n-perl:all 0.06-7
2013-12-16 20:43:44 status unpacked libtext-wrapi18n-perl:all 0.06-7
2013-12-16 20:43:44 install lsb-base:all <none> 4.1+Debian8+deb7u1
2013-12-16 20:43:44 status half-installed lsb-base:all 4.1+Debian8+deb7u1
2013-12-16 20:43:45 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2013-12-16 20:43:45 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2013-12-16 20:43:45 install libncurses5:armel <none> 5.9-10
2013-12-16 20:43:45 status half-installed libncurses5:armel 5.9-10
2013-12-16 20:43:45 status unpacked libncurses5:armel 5.9-10
2013-12-16 20:43:45 status unpacked libncurses5:armel 5.9-10
2013-12-16 20:43:45 install libtinfo5:armel <none> 5.9-10
2013-12-16 20:43:45 status half-installed libtinfo5:armel 5.9-10
2013-12-16 20:43:45 status unpacked libtinfo5:armel 5.9-10
2013-12-16 20:43:45 status unpacked libtinfo5:armel 5.9-10
2013-12-16 20:43:45 install libpam-modules:armel <none> 1.1.3-7.1
2013-12-16 20:43:45 status half-installed libpam-modules:armel 1.1.3-7.1
2013-12-16 20:43:47 status unpacked libpam-modules:armel 1.1.3-7.1
2013-12-16 20:43:47 status unpacked libpam-modules:armel 1.1.3-7.1
2013-12-16 20:43:47 install libpam-modules-bin:armel <none> 1.1.3-7.1
2013-12-16 20:43:47 status half-installed libpam-modules-bin:armel 1.1.3-7.1
2013-12-16 20:43:47 status unpacked libpam-modules-bin:armel 1.1.3-7.1
2013-12-16 20:43:47 status unpacked libpam-modules-bin:armel 1.1.3-7.1
